Alkane,Reference,Soluble/Insoluble (HyPy),Formation,Group,Age range,Exact age (or average of range if given; Ga),d13C (VPBD),# of carbons
c15,French et al 2015,pyrolysis,Carawine Dolomite,Hamersley,,2.5,-43.6,15
c16,French et al 2015,pyrolysis,Carawine Dolomite,Hamersley,,2.5,-40.2,16
c17,French et al 2015,pyrolysis,Carawine Dolomite,Hamersley,,2.5,-39.9,17
c18,French et al 2015,pyrolysis,Carawine Dolomite,Hamersley,,2.5,-38.1,18
c12,Duda et al 2018,pyrolysis,Dresser Fm,Warrawoona,,3.5,-30.3,12
c13,Duda et al 2018,pyrolysis,Dresser Fm,Warrawoona,,3.5,-33.3,13
c14,Duda et al 2018,pyrolysis,Dresser Fm,Warrawoona,,3.5,-32.7,14
c15,Duda et al 2018,pyrolysis,Dresser Fm,Warrawoona,,3.5,-31.1,15
c16,Duda et al 2018,pyrolysis,Dresser Fm,Warrawoona,,3.5,-29.4,16
c17,Duda et al 2018,pyrolysis,Dresser Fm,Warrawoona,,3.5,-31.2,17
c18,Duda et al 2018,pyrolysis,Dresser Fm,Warrawoona,,3.5,-31.7,18