age,d13C org
2.175,-24.8
2.175,-30.8
2.15,-23.5
2.15,-26.45
2.15,-24.5
2.15,-42.2
2.15,-38.03
2.15,-44.8
2.15,-45.3
2.15,-33.1
2.15,-27.1
2.15,-26.575
2.15,-21.7
2.15,-18.46363636
2.15,-20.95
2.15,-26.986
2.1,-22.8
2.1,-31.4
2.1,-24.5
2.1,-22.5
2.1,-18
2.1,-24.7
2.1,-25
2.1,-30.9
2.1,-28.3
2.05,-16.81
2.05,-22.17
2.05,-15.5
2.05,-30.1
2.05,-23.8
2.05,-18.75
2.035,-27.91451613
2.035,-28.21153846
2,-24.4
2,-23.7
2,-22.6
2,-25.1
2,-21.8
2,-20.6
2,-22.8
1.95,-28.6
1.925,-14.3
1.925,-24.5
1.921,-22.64545455
1.92,-29.10784314
1.92,-25.525
1.92,-23.37142857
1.92,-19.76666667
1.92,-23.06666667
1.92,-25.775
1.92,-10.2
1.92,-16.2
1.92,-24.3875
1.92,-15.57272727
1.9,-28.3
1.9,-15.8
1.9,-29.9
1.9,-39.4
1.875,-30.5
1.875,-28.2
1.875,-24.7
1.875,-23.1
1.875,-30.6
1.875,-31
1.875,-30.8
1.875,-35.3
1.875,-32
1.875,-32.4
1.875,-33.6
1.875,-31.7
1.875,-31.7
1.85,-31.6
1.85,-32.1
1.85,-30.6
1.85,-36.9
1.84,-32.01231405
1.84,-30.11882353
1.8,-26.4
1.8,-32
1.8,-30.5
1.8,-29.4
1.75,-30.5
1.7,-23.2
1.7,-21.6
1.7,-16.5
1.7,-24.8
1.7,-27.8
1.7,-23
1.7,-23
1.7,-24
1.7,-23
1.675,-20
1.675,-32.3
1.675,-23.7
1.675,-26.1
1.675,-22.2
1.675,-23.9
1.675,-28.2
1.65,-29.4
1.65,-26
1.65,-29.1
1.65,-32
1.65,-32.6
1.65,-31.7
1.65,-26.6
1.65,-28.8
1.65,-28.7
1.65,-29.3
1.65,-24.6
1.64,-31.86
1.64,-32.19111111
1.625,-30.9
1.56,-30.76885246
1.55,-27.3
1.5,-25.8
1.499,-28.24937853
1.475,-26.4
1.475,-32
1.475,-29.8
1.475,-24.7
1.475,-27.3
1.475,-23.9
1.475,-23.1
1.47,-32.36450875
1.47,-30.118184
1.47,-26.81907558
1.47,-30.60447143
1.45,-22.5
1.45,-26
1.45,-29.35
1.45,-30.1
1.425,-30.9
1.425,-27.4
1.425,-26.3
1.4,-28.5
1.4,-28.47
1.375,-30
1.375,-21.5
1.375,-25.9
1.375,-26.4
1.375,-24.7
1.361,-33.36422222
1.361,-33.44
1.35,-12.7
1.35,-33.4
1.35,-32.8
1.35,-31.9
1.35,-30.2
1.35,-29.6
1.35,-29.6
1.35,-26.4
1.35,-25
1.35,-32.8
1.35,-27.5
1.325,-28.4
1.325,-28.6
1.325,-28.3
1.3,-26.5
1.3,-28.88
1.25,-23.9
1.25,-28.5
1.25,-28.5
1.25,-27.4
1.23,-23.38727273
1.221,-27.25
1.21,-26.075
1.2,-26.8
1.2,-26.1
1.2,-27.6
1.2,-33.2
1.175,-31.13
1.175,-25.08
1.175,-27.25
1.175,-31.7
1.175,-24.5
1.15,-29.86
1.125,-27.2
1.05,-26.8
1.05,-31.3
1.025,-28.2
1.025,-28.3
1.025,-28.4
1.025,-30.65
1.025,-29.07
1.025,-26.5
1,-30
1,-25
0.95,-28.8
0.95,-17
0.95,-17
0.95,-29.1
0.95,-22
0.925,-24.2
0.9,-24.4
0.9,-26.1
0.9,-29.1
0.9,-29.1
0.9,-27
0.85,-29.5
0.85,-15.2
0.85,-25
0.85,-25.7
0.85,-18.6
0.85,-25.8
0.85,-22.1
0.85,-27.8
0.85,-15.8
0.85,-24.8
0.85,-28.8
0.85,-24.4
0.85,-22.6
0.85,-21.3
0.85,-19.5
0.85,-22.3
0.85,-24.7
0.85,-25.7
0.85,-21.6
0.85,-26.9
0.85,-26.7
0.85,-26.5
0.85,-28.6
0.85,-29.4
0.825,-29.1
0.825,-27
0.825,-21
0.825,-25.8
0.825,-21.4
0.825,-21.9
0.8,-30.6
0.8,-23.1
0.8,-28.7
0.8,-23.6
0.8,-25.5
0.8,-26.1
0.8,-26.4
0.8,-26.1
0.8,-16.7
0.8,-26.1
0.775,-19.3
0.775,-23.7
0.775,-22.4
0.775,-24.2
0.775,-31.65
0.775,-26.7
0.775,-26.6
0.775,-22.5
0.775,-23.5
0.775,-17.6
0.775,-19.1
0.775,-14.3
0.775,-18.1
0.775,-26.6
0.775,-10.8
0.775,-20.1
0.775,-23.1
0.775,-25
0.775,-26.5
0.775,-28.1
0.75,-27.4
0.75,-29.6
0.75,-23.7
0.75,-28.2
0.75,-23.7
0.75,-23.9
0.75,-25.6
0.75,-33.36
0.75,-34.7
0.75,-29.73
0.75,-28.6
0.75,-21.2
0.75,-30.1
0.75,-24.1
0.75,-29.4
0.75,-31
0.75,-27.1
0.75,-20.8
0.75,-22
0.75,-25.1
0.75,-23
0.75,-30.4
0.725,-23.9
0.725,-23.8
0.725,-23.6
0.725,-23.9
0.7,-30.28
0.7,-25
0.7,-24.9
0.7,-23.1
0.7,-26.4
0.7,-29.3
0.7,-28.6
0.7,-31.2
0.7,-29.3
0.7,-24.1
0.7,-30.5
0.7,-25.8
0.7,-23.8
0.7,-27.4
0.7,-28.7
0.7,-24.95
0.7,-24.21
0.675,-28.4
0.675,-33
0.675,-31
0.675,-24.8
0.675,-32.4
0.675,-29.3
0.675,-24.9
0.675,-25.7
0.675,-23.1
0.675,-12.5
0.65,-24.38
0.65,-31.2
0.65,-21.3
0.65,-21.2
0.65,-28.9
0.65,-27.9
0.65,-28.5
0.65,-29.5
0.65,-24
0.65,-28.8
0.65,-29.8
0.625,-25.95
0.625,-25.4
0.625,-36.4
0.625,-37.1
0.625,-29.7
0.625,-27.1
0.625,-28.4
0.625,-29.5
0.625,-25.5
0.625,-25.9
0.6217,-30.01743131
0.6054,-31.76203575
0.6,-36
0.6,-26.7
0.6,-28
0.6,-11.2
0.6,-26.2
0.6,-27.8
0.6,-32.6
0.5821,-27.16551621
0.575,-28.3
0.575,-28.8
0.575,-33.2
0.575,-25.6
0.554,-27.3960077
0.55,-27.2
0.55,-26.5
0.55,-26.5
0.55,-36
0.55,-33.3
0.55,-13.1
0.55,-27.24
0.543,-27.76038462
0.543,-30.68710526
0.543,-24.02961538
0.543,-31.17571429
0.543,-32.47230769
0.543,-24.86857143
0.54,-27.79
0.54,-31.95274194
0.53,-29.70
0.53,-32.51708333
0.52,-31.87586957
0.515,-29.07
0.495,-29.40
0.475,-28.48
0.455,-30.86
0.445,-28.73
0.435,-30.03
0.425,-27.63
0.415,-25.87
0.395,-26.80
0.385,-28.23
0.375,-28.91
0.365,-28.45
0.355,-29.08
0.345,-27.73
0.305,-26.67
0.265,-28.97
0.255,-27.08
0.245,-28.48
0.225,-27.48
0.195,-26.86
0.185,-29.20
0.175,-32.30
0.165,-28.55
0.155,-27.75
0.1432,-29.30
0.1379,-27.70
0.1334,-27.30
0.1282,-26.20
0.1183,-27.50
0.1045,-26.40
0.0937,-26.40
0.0895,-27.00
0.0876,-25.50
0.0848,-24.70
0.0785,-27.30
0.0695,-25.80
0.063,-27.00
0.0579,-26.60
0.0519,-27.60
0.043,-26.80
0.0353,-26.50
0.0311,-27.00
0.0262,-25.20
0.0201,-24.40
0.0138,-23.50
0.0083,-23.70
0.0035,-22.50
0.0009,-21.90